Actually Additions,228404
AppleCore,224472
AppleSkin,248787
Applied Energistics 2,223794
Aroma1997Core,223735
AutoRegLib,250363
Baubles,227083
BdLib,70496
Bed Bugs,254508
Better Builder's Wands,238403
BiblioCraft,228027
Biomes O' Plenty,220318
Bookshelf,228525
Botania,225643
Brandon's Core,231382
Chameleon,230497
Chest Transporter,78778
Chisel,235279
Chisels & Bits,231095
CoFH Core,69162
CodeChicken Lib 1.8.+,242818
Cooking for Blockheads,231484
CraftTweaker,239197
Custom Main Menu,226406
Dark Utilities,242195
Default Options,232131
Draconic Evolution,223565
Ender Storage 1.8.+,245174
Environmental Tech,245453
Extra Utilities,225561
Extreme Reactors,250277
FTB Utilities,237102
Flat Colored Blocks,238590
Forestry,59751
GraveStone Mod,238551
Immersive Engineering,231951
Industrial Craft,242638
Inventory Tweaks,223094
Iron Chests,228756
JourneyMap,32274
Just Enough Items (JEI),238222
Just Enough Resources (JER),240630
LunatriusCore,225605
MCMultiPart,239431
MPUtils Basic Tools,245889
MPUtils,244940
MTLib,253211
Mantle,74924
McJtyLib,233105
ModTweaker,220954
Morpheus,69118
Mouse Tweaks,60089
Natura,74120
OpenBlocks Elevator,250832
OpenComputers,223008
Pam's HarvestCraft,221857
Psi,241665
Quark,243121
RFTools Control,250763
RFTools,224641
Random Things,59816
Ranged Pumps,247496
Reborn Core,237903
Redstone Arsenal,70631
Refined Storage,243076
Resource Loader,226447
ShadowMC,226780
Storage Drawers,223852
Thermal Dynamics,227443
Thermal Expansion,69163
Thermal Foundation,222880
Tinkers Construct,74072
ValkyrieLib,245480
Waila Harvestability,79287
Wawla - What Are We Looking At,224712
ZeroCore,247921
